slug,en,zh,ja
getting-started/intro,Welcome to our product! This guide will help you get started.,歡迎使用本產品！本指南將協助您快速上,製品へようこそ！このガイドでは、すぐに使い始める方法を説明します。
hardware-specifications,Hardware Specifications,硬體外觀,ハードウェアの外観
